"","X","Y","PRIMARY_ST","num_policy"
"1","-155.5","18.5","Hawaii",0.347826086956522
"2","-156.5","19.5","Hawaii",0.347826086956522
"3","-155.5","19.5","Hawaii",0.347826086956522
"4","-154.5","19.5","Hawaii",0.347826086956522
"5","-157.5","20.5","Hawaii",0.347826086956522
"6","-156.5","20.5","Hawaii",0.347826086956522
"7","-155.5","20.5","Hawaii",0.347826086956522
"8","-160.5","21.5","Hawaii",0.347826086956522
"9","-159.5","21.5","Hawaii",0.347826086956522
"10","-158.5","21.5","Hawaii",0.347826086956522
"11","-157.5","21.5","Hawaii",0.347826086956522
"12","-156.5","21.5","Hawaii",0.347826086956522
"13","-160.5","22.5","Hawaii",0.347826086956522
"14","-159.5","22.5","Hawaii",0.347826086956522
"15","-80.5","24.5","Florida",0.130434782608696
"16","-97.5","25.5","Texas",0.130434782608696
"17","-81.5","25.5","Florida",0.130434782608696
"18","-80.5","25.5","Florida",0.130434782608696
"19","-99.5","26.5","Texas",0.130434782608696
"20","-98.5","26.5","Texas",0.130434782608696
"21","-97.5","26.5","Texas",0.130434782608696
"22","-82.5","26.5","Florida",0.130434782608696
"23","-81.5","26.5","Florida",0.130434782608696
"24","-80.5","26.5","Florida",0.130434782608696
"25","-99.5","27.5","Texas",0.130434782608696
"26","-98.5","27.5","Texas",0.130434782608696
"27","-97.5","27.5","Texas",0.130434782608696
"28","-96.5","27.5","Texas",0.130434782608696
"29","-82.5","27.5","Florida",0.130434782608696
"30","-81.5","27.5","Florida",0.130434782608696
"31","-80.5","27.5","Florida",0.130434782608696
"32","-103.5","28.5","Texas",0.130434782608696
"33","-100.5","28.5","Texas",0.130434782608696
"34","-99.5","28.5","Texas",0.130434782608696
"35","-98.5","28.5","Texas",0.130434782608696
"36","-97.5","28.5","Texas",0.130434782608696
"37","-96.5","28.5","Texas",0.130434782608696
"38","-95.5","28.5","Texas",0.130434782608696
"39","-89.5","28.5","Mississippi",0
"40","-82.5","28.5","Florida",0.130434782608696
"41","-81.5","28.5","Florida",0.130434782608696
"42","-80.5","28.5","Florida",0.130434782608696
"43","-104.5","29.5","Texas",0.130434782608696
"44","-103.5","29.5","Texas",0.130434782608696
"45","-102.5","29.5","Texas",0.130434782608696
"46","-101.5","29.5","Texas",0.130434782608696
"47","-100.5","29.5","Texas",0.130434782608696
"48","-99.5","29.5","Texas",0.130434782608696
"49","-98.5","29.5","Texas",0.130434782608696
"50","-97.5","29.5","Texas",0.130434782608696
"51","-96.5","29.5","Texas",0.130434782608696
"52","-95.5","29.5","Texas",0.130434782608696
"53","-94.5","29.5","Texas",0.130434782608696
"54","-93.5","29.5","Texas",0.130434782608696
"55","-92.5","29.5","Louisiana",0.0869565217391304
"56","-91.5","29.5","Louisiana",0.0869565217391304
"57","-90.5","29.5","Louisiana",0.0869565217391304
"58","-89.5","29.5","Louisiana",0.0869565217391304
"59","-85.5","29.5","Florida",0.130434782608696
"60","-84.5","29.5","Florida",0.130434782608696
"61","-83.5","29.5","Florida",0.130434782608696
"62","-82.5","29.5","Florida",0.130434782608696
"63","-81.5","29.5","Florida",0.130434782608696
"64","-80.5","29.5","Florida",0.130434782608696
"65","-105.5","30.5","Texas",0.130434782608696
"66","-104.5","30.5","Texas",0.130434782608696
"67","-103.5","30.5","Texas",0.130434782608696
"68","-102.5","30.5","Texas",0.130434782608696
"69","-101.5","30.5","Texas",0.130434782608696
"70","-100.5","30.5","Texas",0.130434782608696
"71","-99.5","30.5","Texas",0.130434782608696
"72","-98.5","30.5","Texas",0.130434782608696
"73","-97.5","30.5","Texas",0.130434782608696
"74","-96.5","30.5","Texas",0.130434782608696
"75","-95.5","30.5","Texas",0.130434782608696
"76","-94.5","30.5","Texas",0.130434782608696
"77","-93.5","30.5","Louisiana",0.0869565217391304
"78","-92.5","30.5","Louisiana",0.0869565217391304
"79","-91.5","30.5","Louisiana",0.0869565217391304
"80","-90.5","30.5","Louisiana",0.0869565217391304
"81","-89.5","30.5","Mississippi",0
"82","-88.5","30.5","Alabama",0.130434782608696
"83","-87.5","30.5","Florida",0.130434782608696
"84","-86.5","30.5","Florida",0.130434782608696
"85","-85.5","30.5","Florida",0.130434782608696
"86","-84.5","30.5","Florida",0.130434782608696
"87","-83.5","30.5","Georgia",0.130434782608696
"88","-82.5","30.5","Georgia",0.130434782608696
"89","-81.5","30.5","Florida",0.130434782608696
"90","-113.5","31.5","Arizona",0.260869565217391
"91","-112.5","31.5","Arizona",0.260869565217391
"92","-111.5","31.5","Arizona",0.260869565217391
"93","-110.5","31.5","Arizona",0.260869565217391
"94","-109.5","31.5","Arizona",0.260869565217391
"95","-108.5","31.5","New Mexico",0.347826086956522
"96","-107.5","31.5","New Mexico",0.347826086956522
"97","-106.5","31.5","Texas",0.130434782608696
"98","-105.5","31.5","Texas",0.130434782608696
"99","-104.5","31.5","Texas",0.130434782608696
"100","-103.5","31.5","Texas",0.130434782608696
"101","-102.5","31.5","Texas",0.130434782608696
"102","-101.5","31.5","Texas",0.130434782608696
"103","-100.5","31.5","Texas",0.130434782608696
"104","-99.5","31.5","Texas",0.130434782608696
"105","-98.5","31.5","Texas",0.130434782608696
"106","-97.5","31.5","Texas",0.130434782608696
"107","-96.5","31.5","Texas",0.130434782608696
"108","-95.5","31.5","Texas",0.130434782608696
"109","-94.5","31.5","Texas",0.130434782608696
"110","-93.5","31.5","Louisiana",0.0869565217391304
"111","-92.5","31.5","Louisiana",0.0869565217391304
"112","-91.5","31.5","Mississippi",0
"113","-90.5","31.5","Mississippi",0
"114","-89.5","31.5","Mississippi",0
"115","-88.5","31.5","Mississippi",0
"116","-87.5","31.5","Alabama",0.130434782608696
"117","-86.5","31.5","Alabama",0.130434782608696
"118","-85.5","31.5","Alabama",0.130434782608696
"119","-84.5","31.5","Georgia",0.130434782608696
"120","-83.5","31.5","Georgia",0.130434782608696
"121","-82.5","31.5","Georgia",0.130434782608696
"122","-81.5","31.5","Georgia",0.130434782608696
"123","-80.5","31.5","Georgia",0.130434782608696
"124","-118.5","32.5","California",0.478260869565217
"125","-117.5","32.5","California",0.478260869565217
"126","-116.5","32.5","California",0.478260869565217
"127","-115.5","32.5","California",0.478260869565217
"128","-114.5","32.5","California",0.478260869565217
"129","-113.5","32.5","Arizona",0.260869565217391
"130","-112.5","32.5","Arizona",0.260869565217391
"131","-111.5","32.5","Arizona",0.260869565217391
"132","-110.5","32.5","Arizona",0.260869565217391
"133","-109.5","32.5","New Mexico",0.347826086956522
"134","-108.5","32.5","New Mexico",0.347826086956522
"135","-107.5","32.5","New Mexico",0.347826086956522
"136","-106.5","32.5","New Mexico",0.347826086956522
"137","-105.5","32.5","New Mexico",0.347826086956522
"138","-104.5","32.5","New Mexico",0.347826086956522
"139","-103.5","32.5","New Mexico",0.347826086956522
"140","-102.5","32.5","Texas",0.130434782608696
"141","-101.5","32.5","Texas",0.130434782608696
"142","-100.5","32.5","Texas",0.130434782608696
"143","-99.5","32.5","Texas",0.130434782608696
"144","-98.5","32.5","Texas",0.130434782608696
"145","-97.5","32.5","Texas",0.130434782608696
"146","-96.5","32.5","Texas",0.130434782608696
"147","-95.5","32.5","Texas",0.130434782608696
"148","-94.5","32.5","Texas",0.130434782608696
"149","-93.5","32.5","Louisiana",0.0869565217391304
"150","-92.5","32.5","Louisiana",0.0869565217391304
"151","-91.5","32.5","Mississippi",0
"152","-90.5","32.5","Mississippi",0
"153","-89.5","32.5","Mississippi",0
"154","-88.5","32.5","Mississippi",0
"155","-87.5","32.5","Alabama",0.130434782608696
"156","-86.5","32.5","Alabama",0.130434782608696
"157","-85.5","32.5","Alabama",0.130434782608696
"158","-84.5","32.5","Alabama",0.130434782608696
"159","-83.5","32.5","Georgia",0.130434782608696
"160","-82.5","32.5","Georgia",0.130434782608696
"161","-81.5","32.5","Georgia",0.130434782608696
"162","-80.5","32.5","Georgia",0.130434782608696
"163","-79.5","32.5","South Carolina",0.217391304347826
"164","-120.5","33.5","California",0.478260869565217
"165","-119.5","33.5","California",0.478260869565217
"166","-118.5","33.5","California",0.478260869565217
"167","-117.5","33.5","California",0.478260869565217
"168","-116.5","33.5","California",0.478260869565217
"169","-115.5","33.5","California",0.478260869565217
"170","-114.5","33.5","California",0.478260869565217
"171","-113.5","33.5","Arizona",0.260869565217391
"172","-112.5","33.5","Arizona",0.260869565217391
"173","-111.5","33.5","Arizona",0.260869565217391
"174","-110.5","33.5","Arizona",0.260869565217391
"175","-109.5","33.5","Arizona",0.260869565217391
"176","-108.5","33.5","New Mexico",0.347826086956522
"177","-107.5","33.5","New Mexico",0.347826086956522
"178","-106.5","33.5","New Mexico",0.347826086956522
"179","-105.5","33.5","New Mexico",0.347826086956522
"180","-104.5","33.5","New Mexico",0.347826086956522
"181","-103.5","33.5","Texas",0.130434782608696
"182","-102.5","33.5","Texas",0.130434782608696
"183","-101.5","33.5","Texas",0.130434782608696
"184","-100.5","33.5","Texas",0.130434782608696
"185","-99.5","33.5","Texas",0.130434782608696
"186","-98.5","33.5","Texas",0.130434782608696
"187","-97.5","33.5","Texas",0.130434782608696
"188","-96.5","33.5","Texas",0.130434782608696
"189","-95.5","33.5","Texas",0.130434782608696
"190","-94.5","33.5","Texas",0.130434782608696
"191","-93.5","33.5","Arkansas",0.0434782608695652
"192","-92.5","33.5","Arkansas",0.0434782608695652
"193","-91.5","33.5","Mississippi",0
"194","-90.5","33.5","Mississippi",0
"195","-89.5","33.5","Mississippi",0
"196","-88.5","33.5","Mississippi",0
"197","-87.5","33.5","Alabama",0.130434782608696
"198","-86.5","33.5","Alabama",0.130434782608696
"199","-85.5","33.5","Georgia",0.130434782608696
"200","-84.5","33.5","Georgia",0.130434782608696
"201","-83.5","33.5","Georgia",0.130434782608696
"202","-82.5","33.5","Georgia",0.130434782608696
"203","-81.5","33.5","Georgia",0.130434782608696
"204","-80.5","33.5","South Carolina",0.217391304347826
"205","-79.5","33.5","South Carolina",0.217391304347826
"206","-78.5","33.5","South Carolina",0.217391304347826
"207","-77.5","33.5","North Carolina",0.173913043478261
"208","-120.5","34.5","California",0.478260869565217
"209","-119.5","34.5","California",0.478260869565217
"210","-118.5","34.5","California",0.478260869565217
"211","-117.5","34.5","California",0.478260869565217
"212","-116.5","34.5","California",0.478260869565217
"213","-115.5","34.5","California",0.478260869565217
"214","-114.5","34.5","California",0.478260869565217
"215","-113.5","34.5","Arizona",0.260869565217391
"216","-112.5","34.5","Arizona",0.260869565217391
"217","-111.5","34.5","Arizona",0.260869565217391
"218","-110.5","34.5","Arizona",0.260869565217391
"219","-109.5","34.5","Arizona",0.260869565217391
"220","-108.5","34.5","New Mexico",0.347826086956522
"221","-107.5","34.5","New Mexico",0.347826086956522
"222","-106.5","34.5","New Mexico",0.347826086956522
"223","-105.5","34.5","New Mexico",0.347826086956522
"224","-104.5","34.5","New Mexico",0.347826086956522
"225","-103.5","34.5","New Mexico",0.347826086956522
"226","-102.5","34.5","Texas",0.130434782608696
"227","-101.5","34.5","Texas",0.130434782608696
"228","-100.5","34.5","Texas",0.130434782608696
"229","-99.5","34.5","Oklahoma",0.0869565217391304
"230","-98.5","34.5","Oklahoma",0.0869565217391304
"231","-97.5","34.5","Oklahoma",0.0869565217391304
"232","-96.5","34.5","Oklahoma",0.0869565217391304
"233","-95.5","34.5","Oklahoma",0.0869565217391304
"234","-94.5","34.5","Oklahoma",0.0869565217391304
"235","-93.5","34.5","Arkansas",0.0434782608695652
"236","-92.5","34.5","Arkansas",0.0434782608695652
"237","-91.5","34.5","Arkansas",0.0434782608695652
"238","-90.5","34.5","Arkansas",0.0434782608695652
"239","-89.5","34.5","Mississippi",0
"240","-88.5","34.5","Mississippi",0
"241","-87.5","34.5","Alabama",0.130434782608696
"242","-86.5","34.5","Alabama",0.130434782608696
"243","-85.5","34.5","Georgia",0.130434782608696
"244","-84.5","34.5","Georgia",0.130434782608696
"245","-83.5","34.5","South Carolina",0.217391304347826
"246","-82.5","34.5","South Carolina",0.217391304347826
"247","-81.5","34.5","South Carolina",0.217391304347826
"248","-80.5","34.5","South Carolina",0.217391304347826
"249","-79.5","34.5","South Carolina",0.217391304347826
"250","-78.5","34.5","South Carolina",0.217391304347826
"251","-77.5","34.5","North Carolina",0.173913043478261
"252","-76.5","34.5","North Carolina",0.173913043478261
"253","-121.5","35.5","California",0.478260869565217
"254","-120.5","35.5","California",0.478260869565217
"255","-119.5","35.5","California",0.478260869565217
"256","-118.5","35.5","California",0.478260869565217
"257","-117.5","35.5","California",0.478260869565217
"258","-116.5","35.5","California",0.478260869565217
"259","-115.5","35.5","California",0.478260869565217
"260","-114.5","35.5","Arizona",0.260869565217391
"261","-113.5","35.5","Arizona",0.260869565217391
"262","-112.5","35.5","Arizona",0.260869565217391
"263","-111.5","35.5","Arizona",0.260869565217391
"264","-110.5","35.5","Arizona",0.260869565217391
"265","-109.5","35.5","New Mexico",0.347826086956522
"266","-108.5","35.5","New Mexico",0.347826086956522
"267","-107.5","35.5","New Mexico",0.347826086956522
"268","-106.5","35.5","New Mexico",0.347826086956522
"269","-105.5","35.5","New Mexico",0.347826086956522
"270","-104.5","35.5","New Mexico",0.347826086956522
"271","-103.5","35.5","New Mexico",0.347826086956522
"272","-102.5","35.5","Texas",0.130434782608696
"273","-101.5","35.5","Texas",0.130434782608696
"274","-100.5","35.5","Texas",0.130434782608696
"275","-99.5","35.5","Oklahoma",0.0869565217391304
"276","-98.5","35.5","Oklahoma",0.0869565217391304
"277","-97.5","35.5","Oklahoma",0.0869565217391304
"278","-96.5","35.5","Oklahoma",0.0869565217391304
"279","-95.5","35.5","Oklahoma",0.0869565217391304
"280","-94.5","35.5","Oklahoma",0.0869565217391304
"281","-93.5","35.5","Arkansas",0.0434782608695652
"282","-92.5","35.5","Arkansas",0.0434782608695652
"283","-91.5","35.5","Arkansas",0.0434782608695652
"284","-90.5","35.5","Tennessee",0.0434782608695652
"285","-89.5","35.5","Arkansas",0.0434782608695652
"286","-88.5","35.5","Tennessee",0.0434782608695652
"287","-87.5","35.5","Tennessee",0.0434782608695652
"288","-86.5","35.5","Tennessee",0.0434782608695652
"289","-85.5","35.5","Tennessee",0.0434782608695652
"290","-84.5","35.5","Tennessee",0.0434782608695652
"291","-83.5","35.5","Tennessee",0.0434782608695652
"292","-82.5","35.5","Tennessee",0.0434782608695652
"293","-81.5","35.5","North Carolina",0.173913043478261
"294","-80.5","35.5","North Carolina",0.173913043478261
"295","-79.5","35.5","North Carolina",0.173913043478261
"296","-78.5","35.5","North Carolina",0.173913043478261
"297","-77.5","35.5","North Carolina",0.173913043478261
"298","-76.5","35.5","North Carolina",0.173913043478261
"299","-75.5","35.5","North Carolina",0.173913043478261
"300","-122.5","36.5","California",0.478260869565217
"301","-121.5","36.5","California",0.478260869565217
"302","-120.5","36.5","California",0.478260869565217
"303","-119.5","36.5","California",0.478260869565217
"304","-118.5","36.5","California",0.478260869565217
"305","-117.5","36.5","California",0.478260869565217
"306","-116.5","36.5","California",0.478260869565217
"307","-115.5","36.5","Nevada",0.0869565217391304
"308","-114.5","36.5","Nevada",0.0869565217391304
"309","-113.5","36.5","Arizona",0.260869565217391
"310","-112.5","36.5","Arizona",0.260869565217391
"311","-111.5","36.5","Arizona",0.260869565217391
"312","-110.5","36.5","Arizona",0.260869565217391
"313","-109.5","36.5","New Mexico",0.347826086956522
"314","-108.5","36.5","New Mexico",0.347826086956522
"315","-107.5","36.5","New Mexico",0.347826086956522
"316","-106.5","36.5","New Mexico",0.347826086956522
"317","-105.5","36.5","New Mexico",0.347826086956522
"318","-104.5","36.5","New Mexico",0.347826086956522
"319","-103.5","36.5","Texas",0.130434782608696
"320","-102.5","36.5","Texas",0.130434782608696
"321","-101.5","36.5","Texas",0.130434782608696
"322","-100.5","36.5","Texas",0.130434782608696
"323","-99.5","36.5","Oklahoma",0.0869565217391304
"324","-98.5","36.5","Oklahoma",0.0869565217391304
"325","-97.5","36.5","Oklahoma",0.0869565217391304
"326","-96.5","36.5","Oklahoma",0.0869565217391304
"327","-95.5","36.5","Oklahoma",0.0869565217391304
"328","-94.5","36.5","Oklahoma",0.0869565217391304
"329","-93.5","36.5","Arkansas",0.0434782608695652
"330","-92.5","36.5","Arkansas",0.0434782608695652
"331","-91.5","36.5","Missouri",0.0869565217391304
"332","-90.5","36.5","Missouri",0.0869565217391304
"333","-89.5","36.5","Tennessee",0.0434782608695652
"334","-88.5","36.5","Tennessee",0.0434782608695652
"335","-87.5","36.5","Tennessee",0.0434782608695652
"336","-86.5","36.5","Tennessee",0.0434782608695652
"337","-85.5","36.5","Kentucky",0
"338","-84.5","36.5","Kentucky",0
"339","-83.5","36.5","Tennessee",0.0434782608695652
"340","-82.5","36.5","Tennessee",0.0434782608695652
"341","-81.5","36.5","North Carolina",0.173913043478261
"342","-80.5","36.5","North Carolina",0.173913043478261
"343","-79.5","36.5","North Carolina",0.173913043478261
"344","-78.5","36.5","North Carolina",0.173913043478261
"345","-77.5","36.5","Virginia",0.521739130434783
"346","-76.5","36.5","Virginia",0.521739130434783
"347","-75.5","36.5","North Carolina",0.173913043478261
"348","-122.5","37.5","California",0.478260869565217
"349","-121.5","37.5","California",0.478260869565217
"350","-120.5","37.5","California",0.478260869565217
"351","-119.5","37.5","California",0.478260869565217
"352","-118.5","37.5","California",0.478260869565217
"353","-117.5","37.5","Nevada",0.0869565217391304
"354","-116.5","37.5","Nevada",0.0869565217391304
"355","-115.5","37.5","Nevada",0.0869565217391304
"356","-114.5","37.5","Nevada",0.0869565217391304
"357","-113.5","37.5","Utah",0.130434782608696
"358","-112.5","37.5","Utah",0.130434782608696
"359","-111.5","37.5","Utah",0.130434782608696
"360","-110.5","37.5","Utah",0.130434782608696
"361","-109.5","37.5","Colorado",0.565217391304348
"362","-108.5","37.5","Colorado",0.565217391304348
"363","-107.5","37.5","Colorado",0.565217391304348
"364","-106.5","37.5","Colorado",0.565217391304348
"365","-105.5","37.5","Colorado",0.565217391304348
"366","-104.5","37.5","Colorado",0.565217391304348
"367","-103.5","37.5","Colorado",0.565217391304348
"368","-102.5","37.5","Colorado",0.565217391304348
"369","-101.5","37.5","Kansas",0.0434782608695652
"370","-100.5","37.5","Kansas",0.0434782608695652
"371","-99.5","37.5","Kansas",0.0434782608695652
"372","-98.5","37.5","Kansas",0.0434782608695652
"373","-97.5","37.5","Kansas",0.0434782608695652
"374","-96.5","37.5","Kansas",0.0434782608695652
"375","-95.5","37.5","Kansas",0.0434782608695652
"376","-94.5","37.5","Missouri",0.0869565217391304
"377","-93.5","37.5","Missouri",0.0869565217391304
"378","-92.5","37.5","Missouri",0.0869565217391304
"379","-91.5","37.5","Missouri",0.0869565217391304
"380","-90.5","37.5","Missouri",0.0869565217391304
"381","-89.5","37.5","Kentucky",0
"382","-88.5","37.5","Kentucky",0
"383","-87.5","37.5","Indiana",0.0434782608695652
"384","-86.5","37.5","Indiana",0.0434782608695652
"385","-85.5","37.5","Kentucky",0
"386","-84.5","37.5","Kentucky",0
"387","-83.5","37.5","Kentucky",0
"388","-82.5","37.5","Kentucky",0
"389","-81.5","37.5","West Virginia",0
"390","-80.5","37.5","West Virginia",0
"391","-79.5","37.5","Virginia",0.521739130434783
"392","-78.5","37.5","Virginia",0.521739130434783
"393","-77.5","37.5","Virginia",0.521739130434783
"394","-76.5","37.5","Virginia",0.521739130434783
"395","-75.5","37.5","Virginia",0.521739130434783
"396","-123.5","38.5","California",0.478260869565217
"397","-122.5","38.5","California",0.478260869565217
"398","-121.5","38.5","California",0.478260869565217
"399","-120.5","38.5","California",0.478260869565217
"400","-119.5","38.5","Nevada",0.0869565217391304
"401","-118.5","38.5","Nevada",0.0869565217391304
"402","-117.5","38.5","Nevada",0.0869565217391304
"403","-116.5","38.5","Nevada",0.0869565217391304
"404","-115.5","38.5","Nevada",0.0869565217391304
"405","-114.5","38.5","Nevada",0.0869565217391304
"406","-113.5","38.5","Utah",0.130434782608696
"407","-112.5","38.5","Utah",0.130434782608696
"408","-111.5","38.5","Utah",0.130434782608696
"409","-110.5","38.5","Utah",0.130434782608696
"410","-109.5","38.5","Utah",0.130434782608696
"411","-108.5","38.5","Colorado",0.565217391304348
"412","-107.5","38.5","Colorado",0.565217391304348
"413","-106.5","38.5","Colorado",0.565217391304348
"414","-105.5","38.5","Colorado",0.565217391304348
"415","-104.5","38.5","Colorado",0.565217391304348
"416","-103.5","38.5","Colorado",0.565217391304348
"417","-102.5","38.5","Colorado",0.565217391304348
"418","-101.5","38.5","Kansas",0.0434782608695652
"419","-100.5","38.5","Kansas",0.0434782608695652
"420","-99.5","38.5","Kansas",0.0434782608695652
"421","-98.5","38.5","Kansas",0.0434782608695652
"422","-97.5","38.5","Kansas",0.0434782608695652
"423","-96.5","38.5","Kansas",0.0434782608695652
"424","-95.5","38.5","Kansas",0.0434782608695652
"425","-94.5","38.5","Kansas",0.0434782608695652
"426","-93.5","38.5","Missouri",0.0869565217391304
"427","-92.5","38.5","Missouri",0.0869565217391304
"428","-91.5","38.5","Missouri",0.0869565217391304
"429","-90.5","38.5","Missouri",0.0869565217391304
"430","-89.5","38.5","Illinois",0.130434782608696
"431","-88.5","38.5","Illinois",0.130434782608696
"432","-87.5","38.5","Indiana",0.0434782608695652
"433","-86.5","38.5","Indiana",0.0434782608695652
"434","-85.5","38.5","Kentucky",0
"435","-84.5","38.5","Kentucky",0
"436","-83.5","38.5","Ohio",0.130434782608696
"437","-82.5","38.5","West Virginia",0
"438","-81.5","38.5","West Virginia",0
"439","-80.5","38.5","West Virginia",0
"440","-79.5","38.5","Virginia",0.521739130434783
"441","-78.5","38.5","Virginia",0.521739130434783
"442","-77.5","38.5","Maryland",0.826086956521739
"443","-76.5","38.5","Maryland",0.826086956521739
"444","-75.5","38.5","Maryland",0.826086956521739
"445","-74.5","38.5","Maryland",0.826086956521739
"446","-123.5","39.5","California",0.478260869565217
"447","-122.5","39.5","California",0.478260869565217
"448","-121.5","39.5","California",0.478260869565217
"449","-120.5","39.5","California",0.478260869565217
"450","-119.5","39.5","Nevada",0.0869565217391304
